X,Y,field_1,field_2,field_3,icon_url
-5.28157174841096,33.7417958270005,D10653Nv1,510822.039999999979045,349280.320000000006985,./0.png
-5.24653537736643,33.6430085631027,D123,514083.640000000013970,338331.150000000023283,./0.png
-5.23137453498886,33.8186451198278,D107,515458.140000000013970,357807.880000000004657,./0.png
-5.19536418221496,33.9934810209908,D10776,518752.890000000013970,377200.700000000011642,./0.png
-5.1590541803216,33.9676077234491,D10850,522113.270000000018626,374338.799999999988358,./0.png
-5.14361390030817,34.0182111476807,D10878,523526.039999999979045,379953.580000000016298,./0.png
-5.13538900394508,34.0205641371727,D10889,524284.849999999976717,380216.400000000023283,./0.png
-5.08181523584079,33.4948582344346,D10978,529409.349999999976717,321939.549999999988358,./0.png
-5.05949604477651,34.0692516533459,D10992,531274.849999999976717,385635.739999999990687,./0.png
-5.02488310997398,33.7813196269943,D11072,534583.829999999958090,353718.960000000020955,./0.png
-5.02153075152355,33.6904878990169,D11085b1,534930.750000000000000,343648.710000000020955,./0.png
-5.0236217930552,33.4654000834541,D11106,534826.949999999953434,318691.450000000011642,./0.png
-4.94852118889693,33.9229529064774,D11240,541586.189999999944121,369451.710000000020955,./0.png
-4.94512811302569,34.0310332138191,D11242,541847.599999999976717,381437.880000000004657,./0.png
-4.93908758807232,33.9552342965455,D11260,542442.410000000032596,373035.090000000025611,./0.png
-4.92117004115758,34.0108739400365,D11285,544069.760000000009313,379212.320000000006985,./0.png
-4.89468723715657,33.9612613863701,D11338,546541.959999999962747,373722.409999999974389,./0.png
-4.87306140362357,33.8980205758805,D11370,548575.550000000046566,366719.789999999979045,./0.png
-4.84522998735796,33.6816698749353,D1287,551276.510000000009313,342744.059999999997672,./0.png
-4.83902447096013,33.7200710599661,D11435,551828.839999999967404,347004.960000000020955,./0.png
-4.74027623671398,33.9539457504652,D11587,560814.280000000027940,372990.849999999976717,./0.png
-4.73635218076723,34.0022753882448,D11592,561142.800000000046566,378352.270000000018626,./0.png
-4.7104646055056,33.7053279736885,D11646,563751.170000000041910,345441.659999999974389,./0.png
-4.7022436921588,33.926146350824,D11650,564349.280000000027940,369931.169999999983702,./0.png
-4.64653378174166,34.0021265622526,D11726,569437.939999999944121,378392.090000000025611,./0.png
-4.57580138301321,33.9220976979696,D11798,576040.369999999995343,369567.469999999972060,./0.png
-4.54394589399979,33.9939889902558,D19,578919.619999999995343,377562.809999999997672,./0.png
-4.53137804715684,34.1149824082972,D11847,579968.719999999972060,390989.179999999993015,./0.png
-4.47086255322014,33.8135972726216,D11925,585847.750000000000000,357618.390000000013970,./0.png
-4.45265128531449,33.6080628107039,D11950,587740.119999999995343,334844.940000000002328,./0.png
-4.3877123832569,33.9182215049473,D7,593430.920000000041910,369290.659999999974389,./0.png
-4.22068911663593,33.8707804911235,D14218,608929.930000000051223,364192.590000000025611,./0.png
-4.06370764736216,33.8245164612382,D14222,623514.579999999958090,359238.070000000006985,./0.png
-4.88528682939133,33.9916254052176,D14332,547393.930000000051223,377093.650000000023283,./0.png
-4.89692954697238,34.0183818642835,D14333,546304.239999999990687,380055.400000000023283,./0.png
-4.83713240595931,34.0064977125799,D14334,551832.839999999967404,378765.780000000027940,./0.png
-4.82441508206451,34.0493966773445,D14335,552981.040000000037253,383529.229999999981374,./0.png
-4.77232241363244,34.0781817601919,D14341,557770.189999999944121,386748.950000000011642,./0.png
-4.63581221533695,34.074856275188,D18320,570369.050000000046566,386464.190000000002328,./0.png
-5.19793470935034,33.9987639575474,"3001",518514.330000000016298,377786.059999999997672,./0.png
-5.15537985315036,34.0139162577915,CE30,522440.710000000020955,379474.710000000020955,./0.png
-5.12335750873482,34.038917130723,CAF3H350,525390.390000000013970,382254.460000000020955,./0.png
-5.10854406501127,34.0303587033953,CE33,526760.560000000055879,381309.130000000004657,./0.png
-5.09978332067607,34.0695919306422,D1213,527556.880000000004657,385662.059999999997672,./0.png
-4.99584123386483,34.0389037756913,SP-FES1,537162.180000000051223,382291.380000000004657,./0.png
-4.95488872586419,34.0134679170171,RBM584T1,540954.770000000018626,379486.179999999993015,./0.png
-4.92075829147832,34.0504466819515,CE52,544087.630000000004657,383600.719999999972060,./0.png
-4.91639827958025,34.0191626297755,RBM584T2,544506.150000000023283,380133.479999999981374,./0.png
-4.81732459239438,34.030306377785,CE61,553647.339999999967404,381415.940000000002328,./0.png
-4.78769604950582,34.030195527413,CE64,556382.839999999967404,381419.309999999997672,./0.png
-4.75646212455194,34.023559597781,CE67,559271.020000000018626,380700.809999999997672,./0.png
-4.71249033514873,34.0055380862957,RBM583,563344.140000000013970,378728.330000000016298,./0.png
-4.70775755025603,34.0127869415074,RBM583T1,563775.880000000004657,379535.030000000027940,./0.png
-4.65654330581484,34.0366182170597,D1259,568486.280000000027940,382210.169999999983702,./0.png
-4.57610862551419,34.0357967261128,D1258,575912.430000000051223,382174.840000000025611,./0.png
-4.55693670930581,34.0094198949061,D21,577705.949999999953434,379264.119999999995343,./0.png
-4.48361516648357,34.0355577561179,D17,584451.339999999967404,382219.539999999979045,./0.png
-4.48221531187914,34.0050726756093,D15,584610.300000000046566,378840.289999999979045,./0.png
-4.46561639733692,34.0548462786018,RBM576T2,586093.770000000018626,384373.130000000004657,./0.png
-5.31906899989935,33.7762274485184,D20002,507345.630000000004657,353094.809999999997672,./0.png
-5.28783024977979,33.7986079756328,106Nv1,510235.530000000027940,355579.080000000016298,./0.png
-5.2414196266443,33.7773615242921,D100,514535.419999999983702,353228.809999999997672,./0.png
-5.23486756924789,33.9697593415735,RBM506T2,515108.340000000025611,374563.760000000009313,./0.png
-5.23140770204735,33.8646963179446,D108,515446.820000000006985,362914.200000000011642,./0.png
-5.23104636239161,33.9853006170171,CE25,515458.590000000025611,376287.679999999993015,./0.png
